1555.26 0 1061.73 1555.26 887.528 0 0 0 0
10269 295 97798
32245 1.3603 -38.0792 18.5331
32316 5.47728 -37.5482 18.8967
32466 12.1379 -30.4227 25.5525
32530 11.404 -30.3182 25.7533
32554 4.0156 -45.8551 11.7189
32633 1.9935 -39.4448 16.9787
32643 -14.6789 -47.8272 8.51403
32656 -1.64196 -39.4645 16.8445
32687 -13.4251 -37.2362 18.0243
32740 -14.2288 -48.4146 7.84145
32782 -15.0675 -48.3154 7.88886
32914 -1.70496 -40.0339 16.3899
32934 -14.5235 -48.1795 7.75317
32978 -14.1333 -44.7259 11.5643
32981 -13.8793 -48.4015 7.91088
32998 -10.5106 -38.0983 17.545
33057 11.4579 -29.9075 26.2849
33066 -14.3317 -48.1825 7.8002
33472 2.56814 -41.4459 15.3749
33520 -4.60547 -33.4377 22.3179
33560 10.2984 -37.93 18.8397
33646 10.5343 -38.5213 18.3964
33710 -4.93073 -45.3976 11.134
33829 2.32494 -38.6771 17.7678
33912 -20.6217 -32.498 22.5094
33953 3.03531 -34.1725 22.0713
34012 11.3229 -38.549 18.2786
34339 2.84253 -33.537 22.5675
34563 -10.7594 -36.2845 19.5378
34613 -4.5123 -41.0691 15.1137
34661 6.07218 -34.7497 22.2189
34665 -20.7818 -36.6671 18.3804
35070 2.1023 -33.4749 22.5582
35207 -19.7603 -37.1896 17.5971
35380 -12.212 -40.8912 14.7125
35457 -14.6479 -52.6435 3.98827
35777 -14.4563 -52.441 4.27412
35782 -11.6608 -52.6345 4.51867
35800 -15.3148 -48.7751 7.46042
35878 -15.4673 -52.5468 4.00435
36116 -10.8885 -52.6663 4.54014
36271 -9.61484 -36.3604 19.5056
36290 -11.3794 -52.3954 4.47885
36364 -13.1954 -40.9956 14.9765
36449 -10.6467 -52.6922 4.55232
